Timestamp,Metric_M,Metric_V
2025-04-21 19:17:32,Idle: 59.1,"Temperature: 84.0, Frequency: 146045825832, Voltage: 0.72, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:33,Idle: 59.04,"Temperature: 82.9, Frequency: 150609204584, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:34,Idle: 58.99,"Temperature: 83.4, Frequency: 147471884562, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:35,Idle: 58.93,"Temperature: 82.9, Frequency: 150609204584, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:36,Idle: 58.87,"Temperature: 82.9, Frequency: 150609282596, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:37,Idle: 58.82,"Temperature: 83.4, Frequency: 147471884562, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:38,Idle: 58.76,"Temperature: 84.5, Frequency: 147471935336, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:39,Idle: 58.7,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:41,Idle: 58.64,"Temperature: 84.0, Frequency: 142908530688, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:42,Idle: 58.59,"Temperature: 84.5, Frequency: 147471935336, Voltage: 0.72, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:43,Idle: 58.53,"Temperature: 84.0, Frequency: 147471869828, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:44,Idle: 58.47,"Temperature: 83.4, Frequency: 142908413462, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:45,Idle: 58.42,"Temperature: 82.9, Frequency: 150609204584, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:46,Idle: 58.36,"Temperature: 82.3, Frequency: 152035275812, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:47,Idle: 58.31,"Temperature: 84.5, Frequency: 142908478276, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:48,Idle: 58.25,"Temperature: 84.5, Frequency: 142908478276, Voltage: 0.8404, Throttling: 917510, Memory: 1020"
2025-04-21 19:17:49,Idle: 58.2,"Temperature: 84.5, Frequency: 150609204584, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:50,Idle: 58.14,"Temperature: 84.0, Frequency: 146045863510, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:51,Idle: 58.09,"Temperature: 84.5, Frequency: 142908530688, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:52,Idle: 58.03,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:53,Idle: 57.98,"Temperature: 82.9, Frequency: 150609204584, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:54,Idle: 57.92,"Temperature: 84.0, Frequency: 142908465778, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
